"Date","Station","Counter","Transect","Condition","Dist_Alng","Dist_frm","Live_Dead","Size","Count"
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",1,"0","L",28.9,1
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",3,"0","L",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",6,"0","L",41.1,1
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",7,"0","L",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",10,"0","L",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",13,"0","L",28.5,1
"4/23/2013","LCrestore1","Jenn Seavey",1,"pre",17,"0","L",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",3,"0","L",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",5,"0","L",29.3,1
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",14,"0","L",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",17,"0","L",37.7,1
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",18,"0","L",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",20,"0","L",24.2,1
"4/23/2013","LCrestore1","Jenn Seavey",2,"pre",21,"0","L",31,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",0,"0","L",38.2,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",3,"0","L",29.6,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",4,"0","L",39.3,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",5,"0","L",NA,0
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",19,"0","L",26.3,1
"4/23/2013","LCrestore1","Jenn Seavey",3,"pre",21,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",1,"0","L",32.9,1
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",6,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",12,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",15,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",18,"0","L",43.2,1
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",20,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",1,"pre",21,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",1,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",8,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",9,"0","L",22.2,1
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",12,"0","L",33,1
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",14,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",18,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",2,"pre",20,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",3,"pre",1,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",3,"pre",2,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",3,"pre",9,"0","L",22.3,1
"4/23/2013","LCrestore2","Jenn Seavey",3,"pre",14,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",3,"pre",18,"0","L",NA,0
"4/23/2013","LCrestore2","Jenn Seavey",3,"pre",21,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",1,"pre",5,"0","L",32.7,1
"4/23/2013","LCrestore3","Jenn Seavey",1,"pre",10,"0","L",23.6,1
"4/23/2013","LCrestore3","Jenn Seavey",1,"pre",13,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",1,"pre",15,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",1,"pre",19,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",6,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",8,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",9,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",11,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",14,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",15,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",18,"0","L",20.4,1
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",21,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",2,"pre",21,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",3,"pre",2,"0","L",41.1,1
"4/23/2013","LCrestore3","Jenn Seavey",3,"pre",4,"0","L",25.7,1
"4/23/2013","LCrestore3","Jenn Seavey",3,"pre",5,"0","L",45.2,1
"4/23/2013","LCrestore3","Jenn Seavey",3,"pre",11,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",3,"pre",16,"0","L",NA,0
"4/23/2013","LCrestore3","Jenn Seavey",3,"pre",17,"0","L",NA,0
"4/23/2013","LCrestore4","Jenn Seavey",1,"pre",0,"0","L",38.9,1
"4/23/2013","LCrestore4","Jenn Seavey",1,"pre",13,"0","L",37.1,1
"4/23/2013","LCrestore4","Jenn Seavey",1,"pre",14,"0","L",NA,0
"4/23/2013","LCrestore4","Jenn Seavey",1,"pre",16,"0","L",NA,0
"4/23/2013","LCrestore4","Jenn Seavey",1,"pre",17,"0","L",NA,0
"4/23/2013","LCrestore4","Jenn Seavey",1,"pre",19,"0","L",NA,0
"4/23/2013","LCrestore4","Jenn Seavey",1,"pre",20,"0","L",NA,0
"4/23/2013","LCrestore4","Jenn Seavey",2,"pre",0,"0","L",20.1,1
"4/23/2013","LCrestore4","Jenn Seavey",2,"pre",5,"0","L",NA,0
